Yaris,Pilot,Grid_Position,Quali_Time_Delta,Top_Speed_ST
Las Vegas Grand Prix,Gabriel Bortoleto,18.0,8.74,242.0
Las Vegas Grand Prix,Lance Stroll,12.0,4.916,256.0
Las Vegas Grand Prix,Lando Norris,1.0,0.0,271.0
Las Vegas Grand Prix,Oscar Piastri,5.0,1.027,274.0
Qatar Grand Prix,Max Verstappen,3.0,0.264,327.0
Qatar Grand Prix,Oscar Piastri,1.0,0.0,325.0
Qatar Grand Prix,Carlos Sainz,7.0,0.864,326.0
Qatar Grand Prix,Lando Norris,2.0,0.108,324.0
Qatar Grand Prix,Kimi Antonelli,5.0,0.459,328.0
Qatar Grand Prix,George Russell,4.0,0.275,327.0
Qatar Grand Prix,Fernando Alonso,8.0,0.832,328.0
Qatar Grand Prix,Charles Leclerc,10.0,0.956,324.0
Qatar Grand Prix,Liam Lawson,12.0,1.046,323.0
Qatar Grand Prix,Yuki Tsunoda,15.0,1.374,326.0
Qatar Grand Prix,Alexander Albon,14.0,1.242,325.0
Qatar Grand Prix,Lewis Hamilton,17.0,1.52,323.0
Qatar Grand Prix,Gabriel Bortoleto,19.0,1.147,325.0
Qatar Grand Prix,Franco Colapinto,20.0,1.75,326.0
Qatar Grand Prix,Esteban Ocon,16.0,1.477,324.0
Qatar Grand Prix,Pierre Gasly,9.0,0.937,326.0
Qatar Grand Prix,Lance Stroll,18.0,1.671,325.0
Qatar Grand Prix,Isack Hadjar,6.0,0.727,323.0
Qatar Grand Prix,Oliver Bearman,13.0,1.051,324.0
Qatar Grand Prix,Nico Hulkenberg,11.0,0.966,325.0
Abu Dhabi Grand Prix,Max Verstappen,1.0,0.0,330.0
Abu Dhabi Grand Prix,Oscar Piastri,3.0,0.23,327.0
Abu Dhabi Grand Prix,Lando Norris,2.0,0.201,329.0
Abu Dhabi Grand Prix,Charles Leclerc,5.0,0.523,332.0
Abu Dhabi Grand Prix,George Russell,4.0,0.438,330.0
Abu Dhabi Grand Prix,Fernando Alonso,6.0,0.654,330.0
Abu Dhabi Grand Prix,Esteban Ocon,8.0,0.706,329.0
Abu Dhabi Grand Prix,Lewis Hamilton,16.0,1.187,327.0
Abu Dhabi Grand Prix,Nico Hulkenberg,18.0,1.243,330.0
Abu Dhabi Grand Prix,Lance Stroll,15.0,0.89,327.0
Abu Dhabi Grand Prix,Gabriel Bortoleto,7.0,0.667,329.0
Abu Dhabi Grand Prix,Oliver Bearman,11.0,0.834,327.0
Abu Dhabi Grand Prix,Carlos Sainz,12.0,0.835,326.0
Abu Dhabi Grand Prix,Yuki Tsunoda,10.0,0.827,332.0
Abu Dhabi Grand Prix,Kimi Antonelli,14.0,0.687,331.0
Abu Dhabi Grand Prix,Alexander Albon,17.0,1.209,325.0
Abu Dhabi Grand Prix,Isack Hadjar,9.0,0.79,329.0
Abu Dhabi Grand Prix,Liam Lawson,13.0,0.87,329.0
Abu Dhabi Grand Prix,Pierre Gasly,19.0,1.261,328.0
Abu Dhabi Grand Prix,Franco Colapinto,20.0,1.683,328.0
